,A8m,A8dl,A9l,A6dl,A6m,A9m,A10m,A9/46d,IFJ,A46,A9/46v,A8vl,A6vl,A10l,A44d,IFS,A45c,A45r,A44op,A44v,A14m,A12/47o,A11l,A11m,A13,A12/47l,A32p,A32sg,A24cd,A24rv,A4hf,A6cdl,A4ul,A4t,A4tl,A6cvl,A1/2/3ll,A4ll,A1/2/3ulhf,A1/2/3tonIa,A2,A1/2/3tru,A7r,A7c,A5l,A7pc,A7ip,A39c,A39rd,A40rd,A40c,A39rv,A40rv,A7m,A5m,dmPOS,A31,A23d,A23c,A23v,cLinG,rCunG,cCunG,rLinG,vmPOS,mOccG,V5/MT+,OPC,iOccG,msOccG,lsOccG,G,vIa,dIa,vId/vIg,dIg,dId,A38m,A41/42,TE1.0 and TE1.2,A22c,A38l,A22r,A21c,A21r,A37dl,aSTS,A20iv,A37elv,A20r,A20il,A37vl,A20cl,A20cv,A20rv,A37mv,A37lv,A35/36r,A35/36c,lateral PPHC,A28/34,TH,TI,rpSTS,cpSTS
ACAd,0.691649097868668,0.6641579811526163,0.685080050461515,0.5032522803408584,0.5822970010453671,0.851316971305478,0.8878696087903919,0.6803068984250777,0.42390465361047025,0.5710576628673734,0.5367464761624244,0.569759345288753,0.46282852966807325,0.5086172066597011,0.4337613963071695,0.42647550183520083,0.40668346962101576,0.43464955621492884,0.5993478104046288,0.785783066833031,0.7760465819466943,0.5122915475424388,0.6343017354369314,0.6554439291767259,0.7478420358063458,0.6246857876648656,0.8706068973832329,0.8372472368727489,0.8146882930362125,0.805608598386218,0.19778775831637677,0.3724692696039299,0.14474838581431412,0.23930740176553214,0.6989541614536827,0.42833759720335185,0.15033937381648363,0.2922588431076952,-0.07381489870578138,-0.0031272714347212434,-0.05595905022804198,0.025191859139016372,0.014274214617657696,-0.09135032258876565,0.08354505905323631,0.034957388496956135,-0.008116457269123103,-0.24947741651802072,-0.07698407101540766,0.01802830954241841,0.05562993401156536,-0.1834634232519179,-0.11649443446689807,0.045666331993425936,0.20437091141164818,-0.1311091035647846,0.22545041707676133,0.29280267209407845,0.6481088993934478,0.3141602773125392,-0.3004650055630743,-0.2629247415188279,-0.2544238348438858,-0.3023358609760586,-0.23456080240742355,-0.3226736480789169,-0.34686527460687894,-0.2734228328963979,-0.3062581837454577,-0.2516874928170624,-0.2192368029260551,0.31538664520550574,0.7236732435998515,0.8146984964305312,0.5800205255315056,0.5584102363729764,0.7956058652249501,0.3536288823184832,-0.18116675708607063,-0.05736154889946813,-0.2340045809752541,0.3643346425616321,0.03786614740577811,0.0004874025118892217,0.2473855524125857,-0.234311888746508,0.02855797113429121,-0.014027128332350345,-0.2316898358638746,0.09029736770135463,0.16238725774031051,-0.25722376640760397,-0.049870835045507995,-0.061451206893706284,0.051656708408807914,-0.38849518641803277,-0.3411886917825002,0.3047776420365514,0.260035211983776,0.16427783472804994,0.4386511540347513,0.2982172516613181,0.32635288616850716,-0.23640935476666178,-0.1990772220841839
ACAv,0.5321051393984246,0.5371723299719987,0.6421084210396503,0.3667788251478817,0.43682633651127173,0.734847258325431,0.8296223398600074,0.667339377945687,0.3475932080009941,0.5829899586929985,0.5442792815319047,0.4721598711557619,0.3547904650735901,0.561595252518445,0.3843156967974571,0.43574017435904355,0.36517495446797854,0.45843536013579844,0.5120161592992319,0.6777855641623425,0.7977075991745073,0.5258010449180311,0.652689007807278,0.693035534676988,0.7643540558529708,0.5853133108404416,0.780948840711841,0.8115084925571968,0.6959008059358989,0.769058891627777,0.13431111948907565,0.27271886089389447,0.11759338936456706,0.18008372435449949,0.5261375059286921,0.32059628275106256,0.13431542631086332,0.21165969254543204,-0.015030354854111456,0.04483157151154526,0.014346213905345693,0.06447212599885002,0.077608972867123,0.02849610346121629,0.13515774414218293,0.099652833713588,0.04894472068627893,-0.10396306059211108,0.03184664492093229,0.08187913194275605,0.10039629797329852,-0.0742588412410411,-0.03567840744590725,0.14810642996702875,0.22396749825188858,-0.02331765567672969,0.25334694747882264,0.2973184179176294,0.5162884051067103,0.2950463645950079,-0.16790981205715144,-0.13551597834593446,-0.12976280930209652,-0.1785723042113351,-0.11904726607386105,-0.17253178047796636,-0.20971090825517258,-0.13628012988609545,-0.16250462943828653,-0.12788579299670771,-0.08813618535913557,0.3314751795341728,0.6983303910918488,0.7311626980966396,0.5747954185294871,0.4471734098851694,0.6862257277114052,0.31251837677617783,-0.08997175673755844,-0.012437980571584562,-0.12910920613947077,0.3379974070008207,0.035590763812523275,0.023762584368566684,0.23986938710629063,-0.14713472701021102,0.053917933007125066,-0.04314789219659249,-0.19673382169806286,0.08651734692340952,0.15524768904507955,-0.16988924702675492,-0.031236975305685453,-0.05962685170118001,0.00768420542931576,-0.2586932015861927,-0.2837115789685296,0.2613934353227605,0.3084391733968908,0.1416900037357223,0.42628092783515387,0.3068030916988917,0.28768186456595257,-0.1582152053212742,-0.09139593864115923
PL,0.26326397028498294,0.20773458361138247,0.33696420634211804,0.018690170907066306,0.14826997001244738,0.5415644270520681,0.7677282626452632,0.45000838898525236,-0.026586359021043993,0.3762948148259482,0.32631834396694587,0.09663645401738881,-0.020770223949610877,0.42426336238805745,0.029223944751412677,0.0964135676960958,0.08502566756344174,0.24124798036959944,0.39966311599854765,0.6700587637109482,0.8481801498305384,0.48317815214428245,0.694464238518707,0.7758560635374634,0.8863645048669788,0.552064642921612,0.7539857315640972,0.9118023327675308,0.5602083743457377,0.6468582204165618,-0.14746290301864817,-0.09231115146503854,-0.17161647033718497,-0.11405970643775937,0.51796585919916,-0.030328966534307368,-0.1487110524080959,-0.08580199023712932,-0.23253882000231224,-0.1267226133119913,-0.3100200661344701,-0.17517557594959784,-0.33230107218436905,-0.2739713012375786,-0.25254661358885183,-0.3138092137528468,-0.33044022404696466,-0.30304832134475396,-0.29751190939370353,-0.29150472679446315,-0.17056955178384237,-0.2807018455425904,-0.2700571786068977,-0.23037127210616318,-0.1801799351675729,-0.1958754616459199,-0.13786367585672987,-0.047814118402294624,0.27547131811008446,0.371884160302599,-0.14859874912494161,-0.15361484283015642,-0.1725134049760705,-0.08513105556325003,-0.08604736709066291,-0.2813425859714082,-0.27776300014779937,-0.20630133814305393,-0.19207257447510925,-0.3040354816369927,-0.3294001207279904,0.5054262271063652,0.799920445898702,0.7903153972124496,0.7126233743200796,0.7148103942974428,0.8443727660083513,0.6516105511019344,-0.10040499631055866,0.2260543523824053,-0.14816548086872652,0.7011826373747007,0.3887808435910726,0.14913387117593205,0.5492486310014181,-0.14150767800064448,0.19615700597291721,0.3316838165342404,0.010608505082932125,0.4145313637201586,0.4283341431958924,-0.11771893860813498,0.14530857422510726,0.18509382153512222,0.3778831310637527,-0.15481961501494168,-0.02139655602263192,0.49651974451309544,0.47384197379604576,0.37009453427816325,0.5379517015811929,0.40257280158549336,0.543596554701971,-0.1640332610364491,-0.2249654391554482
ILA,0.2811652498093692,0.18925197044055717,0.28609509848564213,0.053591594381760435,0.20563665386536975,0.5351910226619782,0.7326524885377983,0.36092286015129355,-0.040580771768386974,0.26929168212407956,0.23118844496872054,0.0779924120475587,0.010426911628088932,0.3056824117411496,0.0030447523419683694,0.053399729422996936,0.048761423278734096,0.14214811286797824,0.322925628269975,0.6074203627650866,0.7881464091828035,0.3509194680834138,0.5776107797616249,0.6656554073139944,0.9388011972001852,0.4416274270639542,0.8088245439030107,0.9515445231559861,0.6408924589539221,0.7345936918143079,-0.08959939702880437,-0.045760527346597045,-0.10376352245666207,-0.04202434031630899,0.47704554152449047,-0.012687493675319812,-0.07929085262383162,-0.01019220329097477,-0.18047953265489897,-0.11642931348947524,-0.2790056464529507,-0.10491832189730232,-0.31915897248200026,-0.27165318431071883,-0.26883892096128126,-0.2883180568360842,-0.30457150658389454,-0.3110147988140396,-0.3206538124007871,-0.32161301237511153,-0.2423635901845494,-0.33209615764074046,-0.27917373316623034,-0.22483326038601065,-0.15186596601207164,-0.18559583040636618,-0.14761710461219998,-0.013199959405092039,0.3391518967057858,0.485883440971551,-0.13028095552078092,-0.12505218381654398,-0.14231983574030382,-0.05806418222369294,-0.06002143462250827,-0.2688811020086633,-0.29290474787002635,-0.1819789079903821,-0.17861373239724163,-0.2798467693130667,-0.31997257961259057,0.5115968199039916,0.8051701792812777,0.7286253663280937,0.7235072810005131,0.6991305770196015,0.8230207265096265,0.634088874591966,-0.15411529087470108,0.15573507103490983,-0.22829334794302303,0.686994393149918,0.28524697675529037,0.011540611096387913,0.4562943944052444,-0.229732216921805,0.06327693720794897,0.27229441550221317,-0.09383848648181116,0.3254738989809028,0.3231721577807009,-0.20802710020856027,0.01326851331987739,0.10336404212704405,0.39352227349559304,-0.16443036682279566,-0.08460173936043525,0.5631242893877425,0.5808014212073722,0.4596216808676715,0.6294106669298652,0.5195211668064685,0.5970338169705804,-0.2484409043260052,-0.3008145732156972
ORBl,0.6443456251226098,0.7014187141588801,0.7073072881339586,0.5395904843251981,0.4885486826608866,0.664778132982593,0.6241735220905861,0.6874053928167358,0.6736677588615261,0.6497391248774429,0.7152818800589397,0.658531417764323,0.5424528742153606,0.6298401163250955,0.7101619380309679,0.6577460882045387,0.737150538217023,0.7185502645612475,0.8260068711911194,0.7883160795294377,0.5406781304866063,0.6954181908178817,0.6273322643669228,0.5667843293346002,0.2670783220644561,0.7748946602316179,0.41939911530604546,0.3347925166214953,0.4192091520429073,0.3158053457296988,0.3433190585228791,0.47102653512861814,0.2509486100298644,0.30030450517852353,0.7401083087059142,0.6094896353042281,0.2479068701724955,0.29512534512380034,0.13947362579304962,0.34804291196668224,0.22788301146881157,0.1221063127761976,0.24671447798845983,0.15802183342754467,0.38076775034597476,0.23428243456604148,0.22160812347713996,0.005369470813255228,0.2542462841843926,0.33711816387215987,0.45339079258955994,0.18313765793257344,0.27693749360494346,0.1924788165389666,0.2961594673032759,0.0448062186991622,0.3557530417506319,0.28348280510449986,0.41474600123503225,-0.06776823417287578,-0.15604910312209896,-0.13306500503920354,-0.11732793715833417,-0.21723284368588702,-0.14916773431603644,-0.10953756049904978,-0.035321304273208474,-0.10671817190676643,-0.11386831593768532,-0.009846760609957388,0.0052736825756138275,0.25248327898639306,0.4168073159833109,0.6500391429803113,0.3087197335862158,0.3640867110105523,0.5191071113693545,0.14702498473985665,0.2110229033665566,0.21492406477455736,0.26700563728414595,0.1666979755704886,0.20874818364481312,0.3104254264524645,0.27506009827297034,0.1747369851879536,0.3535479936344875,0.048510288216263804,0.0601227186466665,0.1692249806117521,0.2544246474696455,0.056440255396611225,0.2450059890963942,0.10256866878672047,-0.09002318354654791,-0.21249739028376244,-0.10709287389487632,-0.02108263776478412,-0.14027164555518756,-0.1539419581482308,0.03458111798516481,-0.10424717677191615,0.01015844725222223,0.1957193028212681,0.1555873800667392
ORBm,0.3059377319998152,0.2785470061096465,0.42050441919648907,0.0526112021050022,0.174938218978072,0.5947402310190283,0.8217793138391017,0.535752692802983,0.03103295493322483,0.46105926968148264,0.4156749941454828,0.1689728046946363,0.021364592716484786,0.5042542733350773,0.09138423524222179,0.16568581832345594,0.12395439018937045,0.3148333575769229,0.4461007619027738,0.7011269040059681,0.8952194156480676,0.5460263435602087,0.7397857212621619,0.8153200354849295,0.8417785534435864,0.6045456272912444,0.7647466471129537,0.8936467757186507,0.5612925598984784,0.6294357032969947,-0.16089510036196283,-0.07231041438118102,-0.1874262472354003,-0.1273831050700566,0.5160902659692906,0.005887724662939695,-0.16532519239846272,-0.09408245844857596,-0.2655924784566379,-0.15452367814752277,-0.31520888608104014,-0.20252080741607345,-0.3092614243153687,-0.25372412435528985,-0.2114394557696579,-0.2977980862699282,-0.3125361810924236,-0.28971770727677276,-0.26218124212718436,-0.25252357239079687,-0.1247817293984923,-0.2520547264565318,-0.2770131241657381,-0.19921485447782789,-0.153158757779515,-0.18876588458754517,-0.08154530086672158,0.0010522350567529106,0.2952926140173173,0.32144454823724145,-0.17383415508856243,-0.18204063869925863,-0.1987618303531519,-0.1210620005307978,-0.11606959225104951,-0.2912551787204724,-0.28415408937362074,-0.2262334320213471,-0.21227976706724178,-0.312446969104731,-0.3243953002627308,0.4330256005644986,0.74920224419898,0.812964911689189,0.6356098168713649,0.635795356837487,0.817239897470546,0.5860391498520362,-0.11741157704768766,0.18311474534573202,-0.15063730539672818,0.6266169578598706,0.33776048778439793,0.1645688436350096,0.5177212034377994,-0.12700373223742986,0.19982911728521804,0.2779093311580559,0.003258394399042907,0.37409769770874823,0.405813082337927,-0.10649867483015346,0.15185565510849233,0.15159535313686004,0.30764986680427503,-0.1762629650481422,-0.04737572707104805,0.4326617050575549,0.41524250624159287,0.3067619587021685,0.4914013988351878,0.335606442543951,0.4661397860289942,-0.15231969208143584,-0.20376621514887897
ORBvl,0.33066040646473566,0.3492243900152125,0.536308585986093,0.08278444984800147,0.14145667994798972,0.6279875343886728,0.8506940117319015,0.6555571074063049,0.16046549406851165,0.6065862775034204,0.5780645561348202,0.2592192386719952,0.07237125083303417,0.6752849545854999,0.24069959969987784,0.2999427490237522,0.2793897479806629,0.5331571366592359,0.6173512447446998,0.7745733426095097,0.9331875094852178,0.7415650116129026,0.8900106235505039,0.9301574375606345,0.7722355910458278,0.7779939678876123,0.6559364727179486,0.7905926761824091,0.4673054595056915,0.5092867963380353,-0.12388319895521702,-0.03069327858363704,-0.17616890443741087,-0.12165508189333399,0.593193957279352,0.09983531641711003,-0.16340071075262275,-0.11311449276051677,-0.2226535466819272,-0.027054828720851215,-0.2416967698377616,-0.20988303360274974,-0.22731289771128144,-0.182620705781843,-0.10883958028827172,-0.22814073679591423,-0.2531571620258787,-0.256296442400426,-0.1507327906987176,-0.13445924108319568,-0.0007624385789417028,-0.18076703141831796,-0.16636949515785343,-0.13382868583931812,-0.1252775462541343,-0.19767936426482513,-0.043015598693728806,-0.062332575977844314,0.20811635503684223,0.06415666124367123,-0.21512437126600456,-0.22242763140883917,-0.23576500203771258,-0.2136965283084192,-0.18494982079342437,-0.29736462878451736,-0.2630002671147514,-0.24768316433059553,-0.22615726867320818,-0.31159847924249534,-0.29570815598232086,0.44010978863077044,0.7630774855635504,0.8752564096264626,0.6217116538077655,0.6292339337799463,0.816375496501334,0.48844894189822524,-0.023834872990932197,0.27303730980616986,-0.0340176642963963,0.5498323210749522,0.3760306861278784,0.2474523369176505,0.5222368100253383,-0.06933474548451822,0.3201416305584394,0.19593898000661747,-0.001087412062537978,0.3559492823857729,0.4308985076641638,-0.0967432947485268,0.20953992846388714,0.13859583364351888,0.1124872292239052,-0.25515715364139335,-0.10866935451674975,0.2239304947851538,0.17983774949424186,0.03793615893082253,0.29418203117668185,0.08864993602180779,0.286418245137722,-0.07422449054870946,-0.1331782631738689
MOp,0.6501560377813959,0.7178349927989469,0.6153782621410339,0.738517456720501,0.6114556409508505,0.48385501367283057,0.2831396400050387,0.5021064617230308,0.837093986503169,0.5074594593873565,0.5355285461792222,0.7567904606125125,0.7587763938420475,0.40137094444874466,0.8133966167219902,0.7239349685205826,0.7955344516670856,0.5954307345565372,0.5980824683722699,0.4521143595972812,0.1241063376019686,0.3949042761222969,0.22895302384230007,0.14468798021441887,-0.06710255826681791,0.44155293754552133,0.16607922130559374,-0.005453184744979397,0.2982396872551759,0.17149101627193913,0.661785341595127,0.7634579766721491,0.5919808474278005,0.6212338437504527,0.5456375096531296,0.8061820034948806,0.589733770921724,0.6031811813132563,0.4892788895160729,0.5903055563696731,0.6385588768606503,0.45558095726435066,0.6888563367876093,0.5051895450212723,0.7302505384724463,0.6888157814883605,0.6611940057426848,0.3081977758567692,0.591703956680203,0.7132284181202649,0.6792799591298054,0.4303221824891187,0.6114338036482678,0.5556368344370436,0.6870589594329429,0.2762575549296667,0.6415474496356652,0.49177568023720397,0.4738231859374758,-0.09268524633513114,-0.0334092169869964,0.02930645740807334,0.05573695782369432,-0.15047169305320682,-0.04940393074483513,0.1536975895008182,0.17509167752705806,0.09607012571470853,0.06224829053018091,0.3061467896203426,0.3503393649508574,0.05479437148575447,0.1304637479657216,0.2713771211936563,0.0747710090031887,0.09728254321394494,0.17213984870546967,-0.12430050287600493,0.3183846282752058,0.03627421227142504,0.3509974895520637,-0.12602658880365591,-0.02928350185684846,0.17040647488725563,-0.02557370720096365,0.21662657721750836,0.17614727634707208,-0.13944112280117948,0.010717252154379504,-0.0684679498228675,-6.340973432893738e-05,0.12046414388827073,0.1001868614534562,-0.027297374511204144,-0.22837784983432907,-0.13360348275338912,-0.15216598442059506,-0.17678541419151977,-0.2764772385107165,-0.2111426749817328,-0.12005204990157434,-0.15046080943900136,-0.15111021091018847,0.2715304648000565,0.36744728009976807
MOs,0.6740333694106159,0.752179627830814,0.7891100899030652,0.5387795849972088,0.5339278443118557,0.7946990713995884,0.7976768490120154,0.7914594738269861,0.5706642246787499,0.7308867791623865,0.7075054149838158,0.6942901714270983,0.5303350407495929,0.655040624017736,0.5911979706130105,0.6070208595406743,0.5429702290984116,0.6250232708941245,0.670601635478314,0.7838614333157011,0.693712356019163,0.6418393426170185,0.6688950774123367,0.6681848231350864,0.5124171780719102,0.7174175211885705,0.6620909842895714,0.6008503015904368,0.6169763405759536,0.601601284851263,0.19000376097940733,0.4226111419048669,0.13271040983610832,0.21275268392208072,0.6736080632510469,0.5154496004398068,0.11752075428549438,0.2532545792758969,-0.07447614519183662,0.05212003517968827,0.07060912863514696,-0.012967974185571593,0.19851400506440833,0.0550226093048998,0.317181294830953,0.1813301767810038,0.14137753193808342,-0.07740458070728837,0.15670600630916698,0.2970066694131389,0.37296600565086696,0.08983360721628211,0.05320308402691297,0.17127099090811598,0.29345899344219223,-0.0870166153942744,0.3813518286983848,0.3326560855592303,0.5377465803161687,0.09048063046633752,-0.32735841462030013,-0.30631791910852185,-0.2869958738838579,-0.37535683708741724,-0.3132789075095758,-0.2407880944529422,-0.227650054844673,-0.26909411244862147,-0.28219605194036507,-0.1725529986651941,-0.10043578388154906,0.18525660875725375,0.5830722438019792,0.7669652175884101,0.4519424093454401,0.4120548161723811,0.6544152293860418,0.29206542050301104,-0.0703321248700417,-0.06665906213359911,-0.0031676936941271937,0.2619863771947704,0.1308590783445002,0.28012182305136607,0.3270164700611769,0.033123343309639,0.28628028869110284,0.06376757299882388,-0.01022132884772626,0.19787907441657454,0.3130407116972913,-0.011510173644170833,0.2023345784447605,0.11219003548747106,-0.00039767794754427723,-0.34042715905408666,-0.2045579670750064,0.17447787918243443,0.05520411895065034,-0.0018164440828423933,0.2636940603317764,0.07959148466901342,0.20460533097784786,0.022401043673901156,0.06722046674958831
SSp-n,0.1298824312533695,0.16575397231156194,0.14080894339303276,0.29239879264834606,0.17839530417705393,-0.04248490419214015,-0.14970106244361922,0.07359789126787326,0.47803095694707265,0.1596321126083434,0.2045379683991606,0.2627768583985774,0.35244212175439144,0.14142232266499585,0.5076867109788671,0.5093343367940506,0.5690905261817361,0.3281212147531141,0.22183700372655768,-0.01332614912102029,-0.16700438304329063,0.11521674983727498,-0.0638642678660469,-0.13088419041514057,-0.25227496493452606,0.0646899188648116,-0.20236845830385394,-0.25958503127119836,-0.11046335643261464,-0.1596207396470803,0.5798229190557584,0.4411070951217343,0.6139137880496632,0.5073334463309578,0.0735461370477186,0.4277985830754078,0.6744981970591611,0.42130438627414213,0.8371094566371226,0.8448575912266816,0.8855753532221796,0.7283819053594792,0.7625574803614286,0.8443897044854882,0.7512237179822662,0.7831536976206936,0.8200052807200996,0.7681759152194951,0.8118885987499268,0.6789920661093442,0.6215425683574901,0.6783841159118107,0.8840706488719319,0.7744880378584693,0.670440161121767,0.7760062966811979,0.6048835990450134,0.4655615061001233,0.07271921168151227,-0.06829431655794163,0.6390173558278924,0.6824798159524348,0.6917396366251214,0.49849613588589137,0.5847725894093506,0.7611501534957975,0.7540600165106528,0.7355139317892623,0.7307700019021349,0.8323059990041571,0.8200807903544574,0.109184976590379,-0.14341407914778856,-0.1505368894127647,-0.10240848580658327,-0.09851528696353859,-0.17943439798545036,-0.2227213325855015,0.681942730527502,0.3137868990552696,0.6490403547756454,-0.18370489543437044,-0.019989922702287263,0.07767297778818964,-0.1561810983932293,0.43917246972034435,0.08439693987397294,-0.11714432681096133,0.15681458181271662,-0.12698377228064234,-0.12491930230931823,0.3459001141297951,0.05545164512191138,-0.04877514627451459,-0.17170171738188503,0.45425408621027563,0.16748115253895549,-0.22927019320567701,-0.181673208480959,-0.13873870005001737,-0.21242882664211776,-0.11325292903206509,-0.21611781290646082,0.5179854910549473,0.6031556286532145
SSp-bfd,0.030431239960830143,0.025779867456692463,-0.012478509960321073,0.20865221767441514,0.11674434779805559,-0.14826472741577773,-0.25748808252963845,-0.08823455190500445,0.3301768900202705,-0.025433883751982935,0.04149805291554109,0.11632284187914352,0.26330828270792633,-0.019603687053335154,0.3269658474851593,0.34679209834210917,0.4592837236863079,0.15776317625819855,0.09467687404163289,-0.10078297934743509,-0.2547285002550313,-0.024744294332549155,-0.16602054214563544,-0.2167300658253339,-0.2506201276814327,-0.06031613087250439,-0.23971296910632203,-0.2764656848379768,-0.1438066362344048,-0.1706089399171449,0.5874334261109015,0.37587033472432774,0.6421484870547258,0.5174454555071953,0.02310677223398698,0.33428371155649983,0.65914512101554,0.4257446935757109,0.8675062207925924,0.8128356923725741,0.8299343356897879,0.762723784816497,0.6704708395146539,0.7381271092684348,0.6207088581637794,0.6992534289782052,0.716852143493407,0.6962601471432625,0.6787210191180817,0.5703731490473315,0.4698204611337248,0.5899474778003763,0.8175780522633485,0.6690029956940792,0.548269050040487,0.7601977227663896,0.4712425344417583,0.3773620503212991,0.03488296873953243,0.036802226161507405,0.7030067337393986,0.7382084919142861,0.750597071170959,0.6220549679800367,0.6834990250904889,0.7608943334216668,0.7652903553479996,0.7561743229392411,0.7581863526109257,0.8140705884620291,0.8033359216000935,0.20185052195880593,-0.1501505320690212,-0.2195851691243274,-0.061219616941648076,-0.05816605110777425,-0.2000121298015165,-0.14282595280057375,0.7229231590957824,0.4058735755816148,0.6440476531676009,-0.10575372862211624,0.05778745681072919,0.0746071552170925,-0.10189485996247868,0.41179904562794045,0.09349164506404611,-0.0008389081862930013,0.21929651169198874,-0.050096747466751204,-0.07724152061774367,0.3640559111728584,0.08549426049327413,0.03768660547201416,-0.03500480327865553,0.5632006443290523,0.2913322998904053,-0.12444846803506909,-0.06766654790704563,-0.010487176678963362,-0.1399681492359453,0.0020798199763756796,-0.11533308869219276,0.5141513881612836,0.5750819608688822
SSp-ll,0.48852423509793547,0.5185750689087881,0.5094591954500236,0.5756234264663784,0.47644766104790953,0.3827285226865935,0.24563250391914493,0.4078656234543616,0.6574633776363733,0.403631891974075,0.447345206704345,0.57049104371314,0.6194452051007449,0.35629532451414914,0.633843396903212,0.6182103043270007,0.7188723327870636,0.5149610286088273,0.4956532236544053,0.35194507096422056,0.16943504148577573,0.3508732929550876,0.25118393596156335,0.1803670870419106,0.024023086949788983,0.3646165205568101,0.14989295491089227,0.04849498221694566,0.25686672364830937,0.18772758729077577,0.6736640950706312,0.6432839522264149,0.6432127846554236,0.6251948399261511,0.44779724963829276,0.6653215883041781,0.6180125597218812,0.5769162225217521,0.6365369492356556,0.6966976519685111,0.6534858731100454,0.5796943421299097,0.6502749716986489,0.5088075502818559,0.6352782885259617,0.6841658740929218,0.6027525302900065,0.32492931703948164,0.5318666458419373,0.6288758729480731,0.5076884005958063,0.3698086747546065,0.6249578329680443,0.5966532656001953,0.611595916853348,0.39310567184856005,0.5585011716413768,0.4231425939226083,0.3956545448382767,-0.03182393195621201,0.1718489769233835,0.23287688759982336,0.25785819659762543,0.09149796688875998,0.1913289812094303,0.2623268131930557,0.2890271370517755,0.2574192942438794,0.23174121388224744,0.3810174529600633,0.461916263642504,0.252192820077742,0.17578511947929704,0.23925236173842462,0.15282523792240138,0.12696906654381235,0.16235640417294658,-0.12544105228363275,0.49356205902683153,0.2779892647490201,0.40861198052333464,-0.07040286949747918,0.015751541262376698,0.09541245704364444,-0.022968162131004815,0.17284390815177958,0.15539791656506227,-0.14485146020710105,0.004896237522212218,-0.08007032552003951,-0.032635349695708527,0.1172396706792535,0.060517434127329336,-0.057251538160996325,-0.2406472323041934,0.03899416120785641,-0.07732564316836706,-0.1896450268946765,-0.18076506062529252,-0.18270128296014063,-0.10633535919010444,-0.07694774897331591,-0.15350164876823646,0.282745307072158,0.3870336713842689
