,mAmyg,lAmyg,CA1,CA4DG,CA2CA3,subiculum,Claustrum,head of caudate,body of caudate,Putamen,posterovemtral putamen,nucleus accumbens,external segment of globus pallidus,internal segment of globus pallidus,mPMtha,Stha,PPtha,Otha,mPFtha,lPFtha,rTtha,cTtha
LA,0.4447633852848639,0.7748360639489665,0.847625968828069,0.7818687504967499,0.81006038399797,0.8282326923267825,0.5778576086938193,0.3277438175774019,0.2401261075259421,0.2886232728309125,0.6473722480607182,0.2900410106821604,-0.006737688542985358,0.006626981549192609,-0.04810340091704079,-0.07996518874151788,-0.062208670910833354,0.10596461810289683,0.07131605980336497,-0.08471807882630769,0.3711445856607178,0.13029911658927823
BLA,0.4171761687136931,0.7296033990480848,0.8820716641460218,0.8376894898826772,0.8297017900353347,0.8930239558607352,0.5109259601497689,0.282543485260723,0.207852055742644,0.20739597900871992,0.5867036460025311,0.249865297032364,-0.04141987761512971,0.00796969334697576,-0.048231066802676796,-0.06322404032764245,-0.04078285131556374,0.11798214793196893,0.07483271707822736,-0.0654182862406682,0.37498545590194116,0.13545787221772732
BMA,0.5420401187760733,0.813897116182851,0.7298390145678432,0.7415383418205559,0.7512516831393203,0.8026248326017117,0.45596235668153373,0.3881983621924322,0.18628717603360537,0.14948980566423953,0.6755310625855405,0.4833094252948342,0.0016235377223658234,0.12306257323445798,-0.04950114299653825,-0.14114742945632958,-0.11514542967521581,0.07809696380037202,0.1651670450225586,-0.011678293452751341,0.4627158020149504,0.09199233779808466
PA,0.5940866423275747,0.8098627321693608,0.7158697792152661,0.727713959875408,0.7597209840992502,0.766968339168636,0.4764013720865503,0.37419146414903404,0.14112637158802357,0.1937061065360072,0.7381818011111128,0.4909135420957878,0.09161404126883822,0.19433709345054162,0.011636880693514663,-0.11798396975698748,-0.11710122675021599,0.03848598535770487,0.14713259760114358,0.015797798289057665,0.4115247968505585,0.042241288793300205
COA,0.5839360846347147,0.8509243312129096,0.789157044605013,0.7578998956815258,0.7751325563795302,0.7933112232022409,0.4874879960158473,0.3677283214934868,0.21260632248182232,0.19983842825624257,0.6978352212004296,0.42665948298225737,0.013639983726830358,0.08987879079898405,-0.06018171754135444,-0.11788767004566689,-0.09019669253333396,0.07866488614133758,0.11377174847391476,-0.04717359489785701,0.3956810641153461,0.1036146893819502
PAA,0.43957608258180064,0.7598690137528441,0.882893105278894,0.7999400731674069,0.7831757408323502,0.8574988701629447,0.5146672633115846,0.2957950085507409,0.2477844231351254,0.23151255327827802,0.5626002838768807,0.2235252108458105,-0.06455916301149518,-0.03519698231914473,-0.0695896435279336,-0.05822568231240608,-0.025173983114778132,0.14163687993591195,0.04139112609561182,-0.08911196012653054,0.3312075432178935,0.16393353349721626
CA1,0.31359759458733094,0.5348885423744821,0.9446282766159659,0.8394104309715679,0.7695538529613055,0.8263129684342823,0.21775948517271662,0.17321273137305698,0.24736409563088382,0.08275580430970558,0.31518522229315754,0.01683302379228292,-0.1026867580844317,-0.1062907723417209,-0.09848661548226247,0.018210034875499995,0.05978617063669589,0.17759189858877955,-0.04055645931751676,-0.124467977180608,0.20974813060857436,0.20564916236094635
CA2,0.21761132491774599,0.4633243000910961,0.9559119311270918,0.8500116316485026,0.7857629504937816,0.7811279030653413,0.23719517972987925,0.10856670793806622,0.2586713109886511,0.09809879786355243,0.24701372685626344,-0.058131875439485725,-0.13643317134697125,-0.15451840602077532,-0.07954486813005478,0.06184023407112738,0.10713004748329559,0.228489729309455,-0.023259969523971594,-0.10218910711509045,0.23659882030785667,0.25781199150541534
CA3,0.23833142520119446,0.5104291361768964,0.9778842095841791,0.8870837555295522,0.8462389925890957,0.8504852694352576,0.3248005383386218,0.12662455536889583,0.20720858978181436,0.1251354003092959,0.33407194580057475,-0.0007386774375188719,-0.11104880662066996,-0.10690565944828315,-0.06193076230181892,0.022998605529958305,0.044398779754719724,0.18184958724193667,-0.005826896611851956,-0.09022519317598789,0.28955481013005263,0.20384837423586996
DG,0.42216720952748515,0.6303646713487348,0.9176551391232121,0.8102246772363653,0.7665667900580143,0.7972507481648076,0.3040970336941088,0.1908693116571039,0.238154059186759,0.1434068546146866,0.4315796417106893,0.11199058859290009,-0.03965968611707553,-0.05919607537535011,-0.08005927682654274,0.00380282295962733,0.039964011809882356,0.16702897794326954,0.028246074996028152,-0.09220743366880944,0.2780404085435219,0.20619137751664443
SUB,0.31767147721428607,0.5491881973168247,0.8891522781108592,0.8218367664677555,0.7692258629309029,0.9467802474231587,0.368647044465572,0.23690859858492153,0.18260028130594436,0.13128129657575266,0.39474030945075966,0.117646249152209,-0.04763350305272902,-0.02965265062452967,-0.044201162985599333,-0.00805245632513692,0.02144609591226292,0.17346408538673844,0.0511386440727196,-0.06667357669637217,0.3318851611242378,0.16549765269766067
ACB,0.4236901332024593,0.5895687777637005,0.3485825555997081,0.31238114051298016,0.4660480595769656,0.25578978043138434,0.5284216347784825,0.7811625776567969,0.6562874467726709,0.6931570697946339,0.628380309555605,0.6466705484655536,0.41417883910409165,0.28509147321187733,0.12410687851793588,-0.021132477679397084,0.02776286495338095,0.02511023748275172,0.12201904135325517,0.02297634564110209,0.1841048851907271,0.10148115624549717
CP,0.06861775595894871,0.2790267356666779,0.3919840163396328,0.2871299059433241,0.4271862718819575,0.26905989866030594,0.6174230309671361,0.6406651826701112,0.7946379156620818,0.8579931089401546,0.34889917163840856,0.15108739872677074,0.3249852952468671,0.01882490349869685,0.18446153269997279,0.20205760044246512,0.21024411847832616,0.14897892601709134,0.016045215378316567,-0.029800636576453116,0.04273898693762177,0.24070893774590008
FS,0.37245880642526114,0.6016105960644419,0.4806562500131802,0.4649749546682945,0.5412158032284468,0.4326364996326518,0.4766943076453956,0.7060712956756793,0.6810859124571247,0.5463864996795866,0.5279990710392652,0.4695391508752549,0.17726339144675315,0.0819043109458776,0.05906016540402059,0.0459984049778981,0.10101671722804927,0.165765882323818,0.10543606003094719,-0.014878926643616331,0.23660767569698019,0.2337616199431237
SF,0.27548986038275286,0.08962899121804033,-0.14218852499662676,-0.14184971768288976,-0.11291161716567247,-0.08851308868825339,0.0714131995300597,0.4405121367572998,0.3628044408418557,0.38232069993885953,0.22769358195717215,0.30732004398239054,0.6955947562978969,0.580908123444734,0.647391669474538,0.46569987483985126,0.39522847062243993,0.19868226986243206,0.18503761409372915,0.3831079701766972,-0.08262726212384446,0.2037905397328092
SH,0.3597462151814472,0.5617523162367137,0.4651678380392399,0.40135018728189414,0.44453767573548963,0.5148213853864722,0.3938571436222707,0.7541546226257929,0.5159444474802076,0.42730708510984833,0.4608067844605395,0.49938770560978274,0.18260018631062971,0.17013086537896396,0.08681903080777195,-0.03198667322539797,0.05591971026635374,0.18067333800538637,0.14053635637570833,0.005038710483935503,0.2518086535566265,0.16062734806274742
sAMY,0.6441938401529623,0.8335581910719743,0.4601210610279079,0.4923805328390327,0.564820343819453,0.527540350193833,0.4170476272025462,0.5325408715741968,0.22662634598997866,0.20372809882498855,0.7618217010234326,0.749432437682869,0.1580358822722751,0.31948059646734595,0.01819012975454183,-0.17132680446612097,-0.14775214833278866,-0.01985364485773109,0.22071954863217713,0.06953773186295965,0.40821062425950094,-0.0007580270807374806
PAL,0.4519115520409943,0.26517824887128877,-0.1439556885248423,-0.14461771088254086,-0.045350436990489025,-0.09881846272751788,0.17407155860366114,0.6076385902420742,0.37099379596147375,0.48226727803123537,0.4184604685511854,0.5887658375153093,0.8170871560829027,0.6727956253549983,0.4592555298233467,0.2017901539572936,0.17784671700772256,0.02831716897473382,0.1320830816106817,0.25460902190486756,-0.08013523050946143,-0.0063830327703925105
VENT,-0.1183918766777924,-0.0012421891809292858,0.35923301937573854,0.3712598505818176,0.2863794227710362,0.40008460471292917,0.11494440950586401,0.03908582418371599,0.29647875106340554,0.09727522366702614,-0.08330310039999723,-0.1296665826633622,-0.04304534188182134,-0.04578033699470928,0.42668710756143774,0.6108493875221156,0.7346050780199856,0.8515206061207825,0.4176717164107418,0.4531620104477903,0.4145646329610275,0.7504810253072683
SPF,-0.006864867879653502,0.016726804191841506,0.07752299181477428,0.15276540683504186,0.10369730026404712,0.1918377330675879,0.01756184789851664,0.11050681680008856,0.11169824293288601,-0.041652895171837796,0.011886619187642295,0.25973379447623374,0.06075995565436305,0.3920983022304056,0.5582476777685434,0.4735829376904173,0.4988844036134708,0.6061656541460063,0.8139562250770244,0.8164269057866161,0.6054202382200851,0.464131492477006
SPA,0.028155410114307586,0.19091796607302514,0.37441993985504446,0.4969116622462475,0.3984490475699174,0.4779733866480851,0.11369694180749478,0.1091534488977794,0.10033630284845053,-0.08030544207763768,0.11477321501401018,0.2839929864781974,-0.12391141392007378,0.05286893022681688,0.09241013219448674,0.05180849758277716,0.16330126523448785,0.5487907262069848,0.703133634843286,0.3537932104556086,0.8970085892772434,0.44090374353129796
PP,0.12099114359812145,0.040326191040639905,0.10353507279170954,0.15719696770887975,0.11773202403885133,0.17053311224355278,0.07236557749654511,0.1468763174561079,0.26083199825549425,0.15440724414503967,0.041892836818148385,0.12817327835181935,0.2464394272786018,0.3100724450354492,0.5500120731679567,0.7330592235203631,0.727092263879346,0.6119301877766301,0.5186565585954439,0.6546957455111307,0.2541069009012353,0.4551639816656119
GENd,-0.04338061502041945,0.11399307299806948,0.553807761718571,0.5416623444421642,0.4286782912696,0.6030968771180392,0.11404837995822724,0.05599108632519977,0.26923221258215846,0.030197388377128025,-0.024341369374660245,-0.10010979457459998,-0.13698612661453216,-0.14637984408591515,0.17696487696158553,0.3798289674842633,0.49881365637421726,0.7380241911379442,0.3334368874558876,0.20911993623638403,0.47588390621548865,0.5922360953517641
LAT,-0.07930815835319516,0.11370911729397452,0.5413237277088027,0.5567728609544843,0.4333244009968757,0.5950904025955726,0.10338744148017881,0.047901745805005225,0.2443206481637674,-0.0154742890815462,-0.02473701717018487,-0.05531399061675501,-0.195060488011751,-0.18009725324838688,0.10629752750040737,0.24690274372311888,0.41656682663286315,0.7641137627207585,0.4001832883779101,0.1846887889570545,0.6251511086648377,0.6810006083695832
ATN,-0.08121399608544497,0.07561091365982604,0.38533827917326996,0.46663977373497945,0.3621191672051812,0.4512940106276534,0.11982703657598096,0.0481135437681788,0.1978782435073822,-0.004309833706625822,-0.010227616806024572,0.06633736019382294,-0.11458465024000303,0.002050447015701214,0.31317724365675637,0.3605862373114668,0.5235519470077782,0.7444081404818547,0.6391955316161612,0.505573484510423,0.7406059396123831,0.7153610981380951
MED,-0.07655270251353805,0.09866624975228819,0.36542395700097047,0.4538635977233498,0.35048108324671867,0.4380121768669379,0.11191899782038836,0.07559141683049934,0.1996024650678966,-0.030611952306890528,0.005368370618871429,0.11455793296743844,-0.1670209429794513,-0.05147532784098837,0.1826971903488178,0.23575471227663333,0.4254828126360229,0.7371112956919122,0.6973806435876259,0.4110690259185901,0.8202509825617316,0.6959754381342903
MTN,0.013677949415837911,0.1485524589190203,0.17720425828208874,0.29855434292119376,0.23784600045988324,0.2828144993416865,0.10344227141213735,0.13386949314538674,0.07806327874145012,-0.07312439826964326,0.09597793354163237,0.36745818399538854,-0.09257333513697956,0.15863871869967316,0.20992732488060317,0.09358321896394578,0.2187834261425244,0.5138212613148235,0.8360122134412997,0.5436900718044589,0.894653494004689,0.4702905867043869
ILM,-0.07455715740819818,0.10181709544805921,0.3881861553711131,0.47575479639319307,0.37024864323903106,0.46555256529287964,0.11967974504740793,0.06765233266056596,0.20210291113739737,-0.02948145122129384,0.00624173552877433,0.09725261408138404,-0.17314945050983718,-0.0572108958825204,0.19054960791122638,0.25955081363710897,0.43677820917952553,0.7438023066335697,0.6802155209895738,0.41062846538090914,0.8079648220421609,0.6891225201317454
GENv,-0.051539756561818535,-0.059963559283524745,0.0718206518437313,0.08125080919710366,0.06133286865919451,0.10409352945628424,0.04187831871959499,0.10022633412573008,0.23126428086528675,0.11974252371451496,-0.07299733811601182,0.053281214563929945,0.1649531011779226,0.26019833533228903,0.6099702844297503,0.6911973491348763,0.8294140799045442,0.8475429301017117,0.6153754058354686,0.7167907910047042,0.320938929111103,0.6382236950595424
EPI,0.012514865885189982,0.05132916082422235,0.08535846598179175,0.1740146916786755,0.12654325954910323,0.16553208918148535,0.036205363653636885,0.12127803566412682,0.08387636940793136,-0.043767822886913645,0.01788591801954983,0.3264731840313526,0.006998904499611764,0.26542162551140974,0.3465074935926903,0.2702874767708975,0.3830947870687469,0.6094380376576027,0.900632003805067,0.6964981458776771,0.7405184457906252,0.43835156917162327
RT,-0.06261790811482928,-0.11925513455300647,-0.06552121462881469,-0.0785312814415887,-0.0707363511129256,-0.040277584340106094,0.05663488493825725,0.1145860480389866,0.2670817676677711,0.2255347003409146,-0.06834895462550722,-0.037893047306031505,0.2997782923439205,0.30306541875769694,0.7942120427236963,0.8097690897541011,0.8759094746809799,0.6830838771392347,0.4190844867681406,0.6996276200221949,0.05425039916891792,0.5798092915735715
